loop 11
         2030025 function calls (2022494 primitive calls) in 39.820 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      217    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000   39.827   39.827 <string>:1(<module>)
      217    0.005    0.000    2.410    0.011 __init__.py:1400(_mouseMoveDrag)
     4920    0.003    0.000    0.006    0.000 __init__.py:1412(debug)
     4920    0.003    0.000    0.003    0.000 __init__.py:1677(isEnabledFor)
      868    0.002    0.000    0.078    0.000 __init__.py:1708(failSafeCheck)
     1640    0.002    0.000    0.055    0.000 __init__.py:183(dumps)
     1640    0.003    0.000    0.018    0.000 __init__.py:299(loads)
      217    0.002    0.000   24.333    0.112 __init__.py:583(wrapper)
      217    0.002    0.000   21.863    0.101 __init__.py:623(_handlePause)
      217    0.001    0.000    0.001    0.000 __init__.py:634(_normalizeXYArgs)
      217    0.000    0.000    0.000    0.000 __init__.py:692(_logScreenshot)
     1085    0.005    0.000    0.086    0.000 __init__.py:738(position)
      217    0.001    0.000    0.020    0.000 __init__.py:763(size)
      217    0.001    0.000    0.001    0.000 __init__.py:808(_normalizeButton)
      217    0.004    0.000    2.451    0.011 __init__.py:931(click)
     1640    0.006    0.000    0.026    0.000 _collections.py:141(__init__)
     9838    0.009    0.000    0.011    0.000 _collections.py:156(__getitem__)
     4920    0.004    0.000    0.007    0.000 _collections.py:215(add)
     1640    0.006    0.000    0.017    0.000 _collections.py:231(extend)
     1640    0.004    0.000    0.008    0.000 _collections.py:54(__getitem__)
    11478    0.009    0.000    0.029    0.000 _collections_abc.py:675(get)
    13120    0.008    0.000    0.017    0.000 _policybase.py:281(_sanitize_header)
     4920    0.008    0.000    0.013    0.000 _policybase.py:293(header_source_parse)
    13120    0.005    0.000    0.022    0.000 _policybase.py:311(header_fetch_parse)
     1085    0.079    0.000    0.079    0.000 _pyautogui_osx.py:295(_position)
      217    0.019    0.000    0.019    0.000 _pyautogui_osx.py:300(_size)
      217    0.002    0.000    0.016    0.000 _pyautogui_osx.py:377(_click)
      217    0.001    0.000    0.018    0.000 _pyautogui_osx.py:390(_multiClick)
      651    0.023    0.000    0.023    0.000 _pyautogui_osx.py:416(_sendMouseEvent)
      217    0.002    0.000    2.330    0.011 _pyautogui_osx.py:432(_moveTo)
     6777    0.002    0.000    0.007    0.000 abc.py:96(__instancecheck__)
     1640    0.007    0.000    0.048    0.000 client.py:1001(_send_output)
     1640    0.022    0.000    0.073    0.000 client.py:1055(putrequest)
     1640    0.001    0.000    0.002    0.000 client.py:1182(_encode_request)
     1640    0.001    0.000    0.002    0.000 client.py:1186(_validate_method)
     1640    0.001    0.000    0.002    0.000 client.py:1195(_validate_path)
    11263    0.032    0.000    0.061    0.000 client.py:1211(putheader)
     1640    0.002    0.000    0.050    0.000 client.py:1239(endheaders)
     1640    0.003    0.000    0.214    0.000 client.py:1252(request)
     1640    0.016    0.000    0.211    0.000 client.py:1257(_send_request)
     8200    0.003    0.000    0.004    0.000 client.py:1259(<genexpr>)
     1640    0.006    0.000    9.084    0.006 client.py:1303(getresponse)
     1423    0.001    0.000    0.002    0.000 client.py:159(_encode)
     1640    0.016    0.000    0.225    0.000 client.py:204(parse_headers)
     1640    0.004    0.000    0.025    0.000 client.py:237(__init__)
     1640    0.012    0.000    8.799    0.005 client.py:267(_read_status)
     1640    0.015    0.000    9.053    0.006 client.py:300(begin)
     1640    0.001    0.000    0.004    0.000 client.py:380(_check_close)
     1640    0.001    0.000    0.010    0.000 client.py:409(_close_conn)
     1640    0.002    0.000    0.006    0.000 client.py:414(close)
     1640    0.002    0.000    0.002    0.000 client.py:426(flush)
     6560    0.002    0.000    0.002    0.000 client.py:437(isclosed)
     1640    0.006    0.000    0.018    0.000 client.py:447(read)
     1640    0.002    0.000    0.003    0.000 client.py:605(_safe_read)
     1640    0.005    0.000    0.006    0.000 client.py:787(_get_content_length)
     3063    0.004    0.000    0.039    0.000 client.py:942(send)
    12903    0.005    0.000    0.007    0.000 client.py:980(_output)
     1640    0.003    0.000    0.082    0.000 connection.py:12(is_connection_dropped)
     1640    0.001    0.000    0.002    0.000 connection.py:127(host)
     1640    0.004    0.000    0.079    0.000 connection.py:203(putrequest)
    11263    0.014    0.000    0.088    0.000 connection.py:216(putheader)
    22526    0.006    0.000    0.008    0.000 connection.py:218(<genexpr>)
     1640    0.009    0.000    0.233    0.000 connection.py:226(request)
     6560    0.005    0.000    0.010    0.000 connection.py:232(<genexpr>)
     1640    0.005    0.000    0.104    0.000 connectionpool.py:243(_get_conn)
     1640    0.002    0.000    0.022    0.000 connectionpool.py:282(_put_conn)
     1640    0.000    0.000    0.000    0.000 connectionpool.py:310(_validate_conn)
     3280    0.005    0.000    0.024    0.000 connectionpool.py:320(_get_timeout)
     1640    0.029    0.000    9.392    0.006 connectionpool.py:357(_make_request)
     1640    0.037    0.000    9.923    0.006 connectionpool.py:518(urlopen)
     1640    0.002    0.000    0.003    0.000 contextlib.py:112(__enter__)
     1640    0.002    0.000    0.006    0.000 contextlib.py:121(__exit__)
     1640    0.002    0.000    0.006    0.000 contextlib.py:242(helper)
     1640    0.003    0.000    0.003    0.000 contextlib.py:86(__init__)
     1640    0.005    0.000    0.014    0.000 decoder.py:332(decode)
     1640    0.005    0.000    0.005    0.000 decoder.py:343(raw_decode)
     1640    0.005    0.000    0.052    0.000 encoder.py:182(encode)
     1640    0.046    0.000    0.046    0.000 encoder.py:204(iterencode)
