time: 5
loop 13
         1895504 function calls (1888705 primitive calls) in 17.013 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      221    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000   17.019   17.019 <string>:1(<module>)
      221    0.005    0.000    2.427    0.011 __init__.py:1400(_mouseMoveDrag)
     4314    0.003    0.000    0.006    0.000 __init__.py:1412(debug)
        1    0.000    0.000    0.022    0.022 __init__.py:1564(press)
     4314    0.003    0.000    0.003    0.000 __init__.py:1677(isEnabledFor)
      886    0.002    0.000    0.082    0.000 __init__.py:1708(failSafeCheck)
     1438    0.002    0.000    0.033    0.000 __init__.py:183(dumps)
     1438    0.003    0.000    0.016    0.000 __init__.py:299(loads)
        2    0.000    0.000    0.000    0.000 __init__.py:522(isShiftCharacter)
      222    0.001    0.000    2.510    0.011 __init__.py:583(wrapper)
      222    0.001    0.000    0.001    0.000 __init__.py:623(_handlePause)
      221    0.001    0.000    0.002    0.000 __init__.py:634(_normalizeXYArgs)
      222    0.000    0.000    0.000    0.000 __init__.py:692(_logScreenshot)
     1107    0.005    0.000    0.090    0.000 __init__.py:738(position)
      221    0.001    0.000    0.022    0.000 __init__.py:763(size)
      221    0.001    0.000    0.002    0.000 __init__.py:808(_normalizeButton)
      221    0.004    0.000    2.465    0.011 __init__.py:931(click)
     1438    0.006    0.000    0.023    0.000 _collections.py:141(__init__)
     8626    0.008    0.000    0.010    0.000 _collections.py:156(__getitem__)
     4314    0.003    0.000    0.006    0.000 _collections.py:215(add)
     1438    0.005    0.000    0.015    0.000 _collections.py:231(extend)
     1438    0.003    0.000    0.006    0.000 _collections.py:54(__getitem__)
    10064    0.008    0.000    0.024    0.000 _collections_abc.py:675(get)
    11504    0.007    0.000    0.014    0.000 _policybase.py:281(_sanitize_header)
     4314    0.007    0.000    0.011    0.000 _policybase.py:293(header_source_parse)
    11504    0.004    0.000    0.019    0.000 _policybase.py:311(header_fetch_parse)
        1    0.000    0.000    0.011    0.011 _pyautogui_osx.py:219(_keyDown)
