6 seconds

loop 12
         1532162 function calls (1526568 primitive calls) in 16.731 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      181    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000   16.735   16.735 <string>:1(<module>)
      181    0.004    0.000    1.999    0.011 __init__.py:1400(_mouseMoveDrag)
     3585    0.002    0.000    0.005    0.000 __init__.py:1412(debug)
        1    0.000    0.000    0.044    0.044 __init__.py:1564(press)
     3585    0.002    0.000    0.002    0.000 __init__.py:1677(isEnabledFor)
      726    0.002    0.000    0.108    0.000 __init__.py:1708(failSafeCheck)
     1195    0.002    0.000    0.032    0.000 __init__.py:183(dumps)
     1195    0.003    0.000    0.014    0.000 __init__.py:299(loads)
        2    0.000    0.000    0.000    0.000 __init__.py:522(isShiftCharacter)
      182    0.001    0.000    2.121    0.012 __init__.py:583(wrapper)
      182    0.000    0.000    0.001    0.000 __init__.py:623(_handlePause)
      181    0.000    0.000    0.001    0.000 __init__.py:634(_normalizeXYArgs)
      182    0.000    0.000    0.000    0.000 __init__.py:692(_logScreenshot)
      907    0.004    0.000    0.115    0.000 __init__.py:738(position)
      181    0.001    0.000    0.018    0.000 __init__.py:763(size)
      181    0.001    0.000    0.001    0.000 __init__.py:808(_normalizeButton)
      181    0.003    0.000    2.030    0.011 __init__.py:931(click)
     1195    0.005    0.000    0.020    0.000 _collections.py:141(__init__)
     7170    0.007    0.000    0.009    0.000 _collections.py:156(__getitem__)
     3585    0.003    0.000    0.005    0.000 _collections.py:215(add)
     1195    0.005    0.000    0.013    0.000 _collections.py:231(extend)
     1195    0.003    0.000    0.006    0.000 _collections.py:54(__getitem__)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:311(__subclasshook__)
     8365    0.007    0.000    0.021    0.000 _collections_abc.py:675(get)
        1    0.000    0.000    0.000    0.000 _convenience.py:24(add_convenience_methods)
     27/9    0.000    0.000    0.006    0.001 _lazyimport.py:156(__getattr__)
        5    0.000    0.000    0.000    0.000 _lazyimport.py:334(__prs_enum)
       17    0.000    0.000    0.006    0.000 _lazyimport.py:349(__get_constant)
     9560    0.006    0.000    0.013    0.000 _policybase.py:281(_sanitize_header)
     3585    0.006    0.000    0.010    0.000 _policybase.py:293(header_source_parse)
     9560    0.004    0.000    0.017    0.000 _policybase.py:311(header_fetch_parse)
        1    0.000    0.000    0.033    0.033 _pyautogui_osx.py:219(_keyDown)
        1    0.000    0.000    0.011    0.011 _pyautogui_osx.py:228(_keyUp)
        2    0.021    0.010    0.044    0.022 _pyautogui_osx.py:238(_normalKeyEvent)
